YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT BLOOMING","PROGRESS, 5 YEAR AVG in PCT BLOOMING","PROGRESS, PREVIOUS YEAR in PCT BLOOMING","PROGRESS in PCT SETTING PODS","PROGRESS, 5 YEAR AVG in PCT SETTING PODS","PROGRESS, PREVIOUS YEAR in PCT SETTING PODS","PROGRESS in PCT DROPPING LEAVES","PROGRESS, 5 YEAR AVG in PCT DROPPING LEAVES","PROGRESS, PREVIOUS YEAR in PCT DROPPING LEAVES","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED"
2017,"US TOTAL","  ","  ","   ","WEEK #16",SOYBEANS,2017-04-23,6,3,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #17",SOYBEANS,2017-04-30,10,7,7," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #18",SOYBEANS,2017-05-07,14,17,21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #19",SOYBEANS,2017-05-14,32,32,34,8,9,9," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #20",SOYBEANS,2017-05-21,53,52,53,19,21,20," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #21",SOYBEANS,2017-05-28,67,68,71,37,40,42," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #22",SOYBEANS,2017-06-04,83,79,82,58,59,62," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #23",SOYBEANS,2017-06-11,92,87,91,77,73,77," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #24",SOYBEANS,2017-06-18,96,93,95,89,84,88," "," "," "," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #25",SOYBEANS,2017-06-25," "," "," ",94,91,94,9,7,8," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #26",SOYBEANS,2017-07-02," "," "," ",98,95,98,18,17,20," "," "," "," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #27",SOYBEANS,2017-07-09," "," "," "," "," "," ",34,32,37,7,5,6," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #28",SOYBEANS,2017-07-16," "," "," "," "," "," ",52,51,56,16,13,16," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #29",SOYBEANS,2017-07-23," "," "," "," "," "," ",69,67,74,29,27,33," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #30",SOYBEANS,2017-07-30," "," "," "," "," "," ",82,80,84,48,45,51," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #31",SOYBEANS,2017-08-06," "," "," "," "," "," ",90,88,90,65,62,67," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #32",SOYBEANS,2017-08-13," "," "," "," "," "," ",94,93,94,79,75,78," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #33",SOYBEANS,2017-08-20," "," "," "," "," "," ",97,97,98,87,85,88," "," "," "," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #34",SOYBEANS,2017-08-27," "," "," "," "," "," "," "," "," ",93,92,93,6,5,5," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #35",SOYBEANS,2017-09-03," "," "," "," "," "," "," "," "," ",97,96,97,11,12,11," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #36",SOYBEANS,2017-09-10," "," "," "," "," "," "," "," "," "," "," "," ",22,25,24," "," "," "
2017,"US TOTAL","  ","  ","   ","WEEK #37",SOYBEANS,2017-09-17," "," "," "," "," "," "," "," "," "," "," "," ",41,43,43,4,5,4
2017,"US TOTAL","  ","  ","   ","WEEK #38",SOYBEANS,2017-09-24," "," "," "," "," "," "," "," "," "," "," "," ",63,63,65,10,12,9
2017,"US TOTAL","  ","  ","   ","WEEK #39",SOYBEANS,2017-10-01," "," "," "," "," "," "," "," "," "," "," "," ",80,78,81,22,26,24
2017,"US TOTAL","  ","  ","   ","WEEK #40",SOYBEANS,2017-10-08," "," "," "," "," "," "," "," "," "," "," "," ",89,87,90,36,43,41
2017,"US TOTAL","  ","  ","   ","WEEK #41",SOYBEANS,2017-10-15," "," "," "," "," "," "," "," "," "," "," "," ",94,93,95,49,60,59
2017,"US TOTAL","  ","  ","   ","WEEK #42",SOYBEANS,2017-10-22," "," "," "," "," "," "," "," "," "," "," "," ",97,97,98,70,73,74
2017,"US TOTAL","  ","  ","   ","WEEK #43",SOYBEANS,2017-10-29," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",83,84,85
2017,"US TOTAL","  ","  ","   ","WEEK #44",SOYBEANS,2017-11-05," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",90,91,92
2017,"US TOTAL","  ","  ","   ","WEEK #45",SOYBEANS,2017-11-12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",93,95,96
2017,"US TOTAL","  ","  ","   ","WEEK #46",SOYBEANS,2017-11-19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",96,97,98
